i theta vel
414 4.440493243120155 -7.6978658667066275
415 0.8741157450184484 -7.251605126401642
416 2.5559450373704813 -8.393319238005068
417 4.41992907328917 -7.659436831947963
418 5.881167410361392 -6.76665256777479
419 1.1390002964795403 -7.384530198251323
420 5.230102121555098 -6.99089492732513
421 4.597163802239832 -7.441404877866898
422 0.24756950392297233 -6.763907665892301
423 2.58118471386133 -8.272443783509521
424 4.388866789514268 -7.558860802975344
425 2.9329797374395357 -8.282828882686141
426 1.5658721484805551 -7.61167952815814
427 3.795477864133504 -7.949332655940481
428 1.8649810639731197 -7.808860920570655
429 3.1077533866674627 -8.197520750218514
430 5.451633688561727 -6.692449917345065
431 5.057207351149753 -6.910897596319891
432 0.2305057348807914 -6.581061522887218
433 1.423659037955882 -7.371279608914791
434 5.824275918374723 -6.494433570009984
435 1.8933911995762551 -7.707793712732259
436 5.040167684692646 -6.838056800392402
437 5.793305813419485 -6.450525303352192
438 6.046339092669179 -6.401182735370137
439 1.1748583845463172 -7.062042209323133
440 0.2981399550296044 -6.4710040011277234
441 5.0617415588703425 -6.740010424286801
442 1.9218947869541583 -7.610299368610821
443 0.7400225561709237 -6.664049392382146
