i R \phi
243 0.02448217674752551 1.5075031339591336
244 0.02300816177748335 1.5174619814923829
245 0.022060463347481386 1.487995988261661
246 0.02210546116634206 1.4924389311174284
247 0.02189355972989494 1.5520922871679843
248 0.02346192458220837 1.5136194945415065
249 0.0256561181260959 1.5691378857412592
250 0.026074824312391668 1.4937404474171083
251 0.026438114212405103 1.4734437391897166
252 0.02521028061778118 1.428547314511647
253 0.024663037176364516 1.4166211796437425
254 0.024976703585031377 1.348178335276145
255 0.02599221814557456 1.3240617618884372
256 0.024961115334519373 1.3936989892800078
257 0.024382314981149886 1.3629955563166312
258 0.024098720529149662 1.4224915587636262
259 0.024080127596886675 1.4427263402144668
260 0.02543960107715074 1.4467205968500874
261 0.02608375842015433 1.4850461858852262
262 0.02710014946414165 1.5057292190412257
263 0.026923546341346544 1.4773661832827614
264 0.026922053360286198 1.5349520383853426
265 0.025063099053133003 1.4899503081857446
266 0.02522656009977982 1.4396556414775497
267 0.02647489700950078 1.376826198607777
268 0.02650986320902242 1.3760823900144314
269 0.027745972439117975 1.3661427918125446
270 0.028425254238531095 1.3534752674624295
271 0.029194055952804776 1.4017392585507908
272 0.029220958414060375 1.3381916913565903
273 0.031790062058187935 1.2928590097503745
274 0.03223861252344918 1.2360336251506276
275 0.03158137776404874 1.187010604044348
276 0.032617979237655054 1.1644114734753843
277 0.033975356286538014 1.0796608564998982
278 0.03375298873565312 1.103453295428441
279 0.0339677879615057 1.0929882618886355
280 0.036283232510584816 1.0783645979956826
281 0.03597617629591312 1.041239468982266
282 0.035986740506779004 1.0232953354051886
283 0.0361864830332178 1.055408457763818
284 0.03695523324911913 1.1059654694078036
285 0.03699414035110087 1.1217712306329426
286 0.0346904856019982 1.1755723773689033
287 0.03378537074537935 1.1633858821146525
288 0.033304875244525495 1.1409850507610153
289 0.03486582910812185 1.133282084258818
290 0.03433421793655293 1.1305378812968778
291 0.034379603584985194 1.1530055576967089
292 0.0339174450650202 1.1378275071301323
293 0.0341096958216013 1.1264764429338792
294 0.03484593143800065 1.1035976817402071
295 0.03315646169208958 1.1264984536094256
296 0.0324334982116644 1.1665441642774999
297 0.03247632320754632 1.1263894509062502
298 0.0338484127803271 1.1534952662643396
299 0.03403442469461395 1.154583637211871
300 0.03586608950219774 1.1350690494971645
301 0.03646591432420237 1.1642739042392816
302 0.0376123948607536 1.1121895528131946
303 0.039078795865110524 1.1015457210847894
304 0.0405024821447998 1.0640723628329183
305 0.04134220512903118 1.108076753545374
306 0.04114978388366978 1.0775525396069576
307 0.04041272722340328 1.1235931902235998
308 0.03950776174027361 1.1334965700438984
309 0.04048102517881819 1.1397817476084904
310 0.040261415962840094 1.1571330054343898
311 0.039240587707626465 1.1530819258792282
312 0.03929183020887883 1.1027853903894715
